Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2024-05-08T07:17:56-0700,Trade,Sell to Open,SELL_TO_OPEN,QQQ   240508P00437000,Equity Option,Sold 1 QQQ 05/08/24 Put 437.00 @ 0.28,28.00,1,28.00,-1.00,-0.143,100,QQQ,QQQ,5/08/24,437,PUT,321570367
2024-05-08T07:17:56-0700,Trade,Buy to Open,BUY_TO_OPEN,QQQ   240508C00441000,Equity Option,Bought 1 QQQ 05/08/24 Call 441.00 @ 0.44,-44.00,1,-44.00,-1.00,-0.13,100,QQQ,QQQ,5/08/24,441,CALL,321570367
2024-05-08T07:17:56-0700,Trade,Buy to Open,BUY_TO_OPEN,QQQ   240508P00433000,Equity Option,Bought 1 QQQ 05/08/24 Put 433.00 @ 0.04,-4.00,1,-4.00,-1.00,-0.13,100,QQQ,QQQ,5/08/24,433,PUT,321570367
2024-05-08T07:14:14-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240508P05135000,Equity Option,Sold 1 SPX 05/08/24 Put 5135.00 @ 0.85,85.00,1,85.00,0.00,-0.783,100,SPXW,SPX,5/08/24,5135,PUT,321568550
2024-05-08T07:14:14-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240508C05195000,Equity Option,Sold 1 SPX 05/08/24 Call 5195.00 @ 1.45,145.00,1,145.00,0.00,-0.783,100,SPXW,SPX,5/08/24,5195,CALL,321568550
2024-05-08T07:14:14-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240508P05165000,Equity Option,Bought 1 SPX 05/08/24 Put 5165.00 @ 4.55,-455.00,1,-455.00,0.00,-0.78,100,SPXW,SPX,5/08/24,5165,PUT,321568550
2024-05-08T07:14:14-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240508C05165000,Equity Option,Bought 1 SPX 05/08/24 Call 5165.00 @ 15.10,"-1,510.00",1,"-1,510.00",0.00,-0.78,100,SPXW,SPX,5/08/24,5165,CALL,321568550
2024-05-08T07:10:35-0700,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240508P05135000,Equity Option,Bought 1 SPX 05/08/24 Put 5135.00 @ 0.85,-85.00,1,-85.00,-1.00,-0.78,100,SPXW,SPX,5/08/24,5135,PUT,321566154
2024-05-08T07:10:35-0700,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240508C05195000,Equity Option,Bought 1 SPX 05/08/24 Call 5195.00 @ 1.87,-187.00,1,-187.00,-1.00,-0.78,100,SPXW,SPX,5/08/24,5195,CALL,321566154
2024-05-08T07:10:35-0700,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240508P05165000,Equity Option,Sold 1 SPX 05/08/24 Put 5165.00 @ 4.24,424.00,1,424.00,-1.00,-0.783,100,SPXW,SPX,5/08/24,5165,PUT,321566154
